t,f0,f1,f2,f3
1.086667e+01,5.994096e+01,5.993991e+01,5.993993e+01,5.994007e+01
1.090000e+01,5.994096e+01,5.993992e+01,5.993993e+01,5.994007e+01
1.093333e+01,5.994095e+01,5.993992e+01,5.993993e+01,5.994007e+01
1.096667e+01,5.994095e+01,5.993993e+01,5.993994e+01,5.994007e+01
1.100000e+01,5.994095e+01,5.993993e+01,5.993994e+01,5.994007e+01
1.103333e+01,5.994094e+01,5.993994e+01,5.993994e+01,5.994006e+01
1.106667e+01,5.994094e+01,5.993994e+01,5.993994e+01,5.994006e+01
1.110000e+01,5.994093e+01,5.993994e+01,5.993994e+01,5.994006e+01
1.113333e+01,5.994093e+01,5.993995e+01,5.993994e+01,5.994006e+01
1.116667e+01,5.994092e+01,5.993995e+01,5.993995e+01,5.994006e+01
1.120000e+01,5.994092e+01,5.993996e+01,5.993995e+01,5.994006e+01
1.123333e+01,5.994091e+01,5.993996e+01,5.993995e+01,5.994006e+01
1.126667e+01,5.994091e+01,5.993996e+01,5.993995e+01,5.994005e+01
1.130000e+01,5.994090e+01,5.993997e+01,5.993995e+01,5.994005e+01
1.133333e+01,5.994090e+01,5.993997e+01,5.993995e+01,5.994005e+01
1.136667e+01,5.994089e+01,5.993997e+01,5.993995e+01,5.994005e+01
1.140000e+01,5.994089e+01,5.993997e+01,5.993995e+01,5.994005e+01
1.143333e+01,5.994088e+01,5.993998e+01,5.993995e+01,5.994005e+01
1.146667e+01,5.994088e+01,5.993998e+01,5.993996e+01,5.994004e+01
1.150000e+01,5.994087e+01,5.993998e+01,5.993996e+01,5.994004e+01
1.153333e+01,5.994087e+01,5.993998e+01,5.993996e+01,5.994004e+01
1.156667e+01,5.994086e+01,5.993999e+01,5.993996e+01,5.994004e+01
1.160000e+01,5.994086e+01,5.993999e+01,5.993996e+01,5.994004e+01
1.163333e+01,5.994085e+01,5.993999e+01,5.993996e+01,5.994003e+01
1.166667e+01,5.994085e+01,5.993999e+01,5.993996e+01,5.994003e+01
1.170000e+01,5.994084e+01,5.993999e+01,5.993996e+01,5.994003e+01
1.173333e+01,5.994083e+01,5.993999e+01,5.993996e+01,5.994003e+01
1.176667e+01,5.994083e+01,5.994000e+01,5.993996e+01,5.994003e+01
1.180000e+01,5.994082e+01,5.994000e+01,5.993996e+01,5.994003e+01
1.183333e+01,5.994081e+01,5.994000e+01,5.993996e+01,5.994002e+01
